ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione La Secca;;;;;;;;;;;;;
Coordinata X 1756367 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5113855 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 386 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;1.1;1.1;8.5;8.8;14.3;17.8;21.3;21.4;16.2;10;6.8;1.4;10.7
1995;-1;2.9;4.8;9.5;13.6;15.8;21.3;18.2;13.8;11.2;4.7;1.5;9.7
1996;1.4;0.6;4;10;14.1;18.4;18.6;18.4;13.1;10.1;5.9;0.5;9.6
1997;1.3;2.7;7.2;8.5;14.5;17.2;18.6;19.2;16.6;10.2;5.7;1.9;10.3
1998;0.8;2.9;5.1;8.9;14.1;18.4;20.4;20.7;15.2;9.8;2.7;-1.3;9.8
1999;-0.1;0.4;5.9;10.1;15.3;17.7;20.1;19.5;16.9;11;4;-0.7;10
2000;-2.6;1.5;5.8;11.5;15.4;19.1;18.3;20.4;15.8;11.8;6.4;2.4;10.5
2001;1.2;2.4;7.5;8.6;16.3;15.2;19.8;20.9;13.1;13.3;3.5;-2.3;10
2002;-2.6;2.7;7.7;9.4;14.3;19.6;20.1;19;14.7;10.9;7.5;2.6;10.5
2003;-0.3;-0.6;6.1;9.3;16.5;22.1;22.1;22.8;14.6;8.7;6.3;0.9;10.7
2004;-1;1;4.9;10.2;12.5;17.7;19.8;20.1;15.7;12.9;5.2;1.2;10
2005;-1.4;-0.2;4.7;9.5;15.3;19.2;20.6;18.2;16.4;10.8;4.4;-1.6;9.7
2006;-2.6;-0.2;4.7;10.2;14.5;19.2;22.6;17.4;17.3;12.7;5.9;1.7;10.3
2007;2;4.4;7.2;13.5;16.2;19.2;20.6;19.1;14.5;10.4;4.4;-0.1;11
2008;1.9;2.5;5.9;9.7;15.1;19;20.3;20.7;14.9;11.6;5.3;1;10.7
2009;-0.2;1.9;5.7;11;16.6;18.1;20.8;21.8;17.1;11;6.4;0.7;10.9
2010;-0.3;1.8;5.4;10.5;13.6;18.5;21.4;19.5;14.8;9.2;6.4;-0.5;10
2011;0;2.2;6.1;12;15.4;18.2;19.2;21;18.3;12;4.5;0.9;10.8
2012;-1.4;-0.4;8;9.6;14.8;19.5;21.4;21.9;16.6;11.5;6.6;-0.5;10.6
2013;0.9;0.9;4.9;10.7;12.7;17.5;21.9;20.6;16.7;12.6;7.3;1.6;10.7
2014;3;5;7.9;11.4;14.1;18.5;19.5;18.4;16.5;13.5;9;3.5;11.7
2015;0.9;3;7;10.6;15.8;19.9;24.3;21.8;16.1;10.8;5.1;0.5;11.3
2016;-0.3;3.7;6.4;11.3;13.8;18.3;21.5;20.2;18;10.7;6.1;0.4;10.8
2017;-2.7;3.5;8.5;10.9;15.4;20.9;21.5;21.9;14.9;10.8;4.9;-0.9;10.8
2018;2;1.5;5.5;13;16.1;19.9;21.9;22.1;17.9;12.8;7.8;0.7;11.8
2019;-0.4;3.3;6.9;10.3;12.3;22.3;22.1;22;16.8;13.1;7.3;1.8;11.5
2020;0.7;4.2;6.3;11.4;15.1;17.9;21.1;21.1;16.9;10.5;4.9;2.5;11.1
2021;-1.5;3.8;5.6;8.8;12.5;20.4;21;19.7;17.2;10.2;5.9;-0.6;10.3
2022;-0.2;3.3;5.1;9.4;16.9;21.6;23.6;21.6;16;13.9;6.8;2.4;11.7
2023;2.3;3.2;7.6;9.1;14.7;19.2;21.3;21;18.3;14;4.7;2.4;11.5
2024;1.1;5.8;8.1;11.1;14.3;19;22.1;23.1;16.3;13.1;4.7;1.4;11.7
Medio mensile;0.1;2.3;6.3;10.3;14.7;18.9;20.9;20.4;16;11.5;5.7;0.8;10.7
;;;;;;;;;;;;;
Il valore mensile è il valore medio delle medie giornaliere del mese.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili.;;;;;;;;;;;;;
Il valore medio annuale è il valore medio dei valori mensili dell'anno.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;4;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;3;15;6;0;1;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;7;2;3;7;0;0;0;4;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;1;0;0;0;0;0;1;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;1;0;0;0;0;0;0;
